"realIP","FULLURL","key01","TITLE"
"3834551054","http://www.lawtime.cn/ask/question_9995251.html","汽车,公证","深圳汽车公证后上牌需要多久深圳汽车公证后上牌需要多久"
"2205390350","http://www.lawtime.cn/ask/question_10182549.html","计划生育","单位计划生育回条冒用政府计划生育公章。回单位的计划生育调查表会怎么处理？？"
"1436849678","http://www.lawtime.cn/ask/question_10097653.html","异地","深圳限牌前异地购车如何上牌深圳限牌前异地购车，有定车协议、有定金单，有银行承认盖章对帐单记录、有联通和移动承认盖章的通话记录，有异地购车活动现场照以及现在录音、有与业务员的短信记录和电话录音，能上深圳牌吗！"
"3875285307","http://www.lawtime.cn/ask/question_10213862.html","身份证","我今年15岁，明年就初三了，中考须要身份证，但因为老家太远了，能让亲属帮忙办理么我今年15岁，明年就初三了，中考须要身份证，但因为老家太远了，能让亲属帮忙办理么"
"3875285307","http://www.lawtime.cn/ask/question_10213533.html","抚养权问题,子女","子女抚养权问题　　因夫妻本无感情，无法再维持下去。因育有儿子，现２４个月，一直都由女方带。请问如果离婚，孩子可以由女方抚养吗？因女方在孩子出生后就没再工作，在家带孩子。请问这样争取孩子的机会大吗？"
"3875285307","http://www.lawtime.cn/ask/question_10214647.html","离婚","一方去了美国不回中国又不肯离婚怎么办一方去了美国不回中国又不肯离婚怎么办"
"3875285307","http://www.lawtime.cn/ask/question_10214582.html","林木,处罚","乱砍林木70立方会怎样的处罚乱砍林木70立方会怎样的处罚"
"3875285307","http://www.lawtime.cn/ask/question_10214518.html","孩子,户口","两个孩子跟母亲户口,可以迁一个到父亲户口那里吗两个孩子跟母亲户口,可以迁一个到父亲户口那里吗"
"3875285307","http://www.lawtime.cn/ask/question_10214517.html","分居,离婚","分居2年怎么离婚夫妻因感情不合分居满两年可准许离婚吗?在分居前双方需签订什么协议吗，还是只是单纯的分居?"
"3592123150","http://www.lawtime.cn/ask/question_10243819.html","法律程序,婚外情","发现老公有婚外情，想走法律程序发现老公有婚外情，还生了其他小孩，现在想告他们"
"3592123150","http://www.lawtime.cn/ask/question_10243819.html","法律程序,婚外情","发现老公有婚外情，想走法律程序发现老公有婚外情，还生了其他小孩，现在想告他们"
"1284134008","http://www.lawtime.cn/ask/question_10215523.html","提出辞职,骨折","你好！请教一个问题。你好！请教一个问题。我有一老乡（58岁）在幼儿园工作，她在1/26号上班时摔倒，1/31号去医院检查为粉粹性骨折，而合同已在1/31号到期，其本人也在1/24号提出辞职（辞职到期为2/11号），目前不能正常上班了，请问应该怎么处理？谢谢！"
"1120484922","http://www.lawtime.cn/ask/question_10018063.html","夫妻经常吵架,关系","夫妻经常吵架，关系破裂，女方提出离婚男方不同意，男方此时去异地务工3到4个月时间夫妻经常吵架，关系破裂，女方提出离婚男方不同意，男方此时去异地务工3到4个月时间没回家，也没和女人联系，女方要离婚，该怎么办？"
"2609113527","http://www.lawtime.cn/ask/question_10218614.html","起诉离婚,法院","法院起诉离婚需要什么手续我是女方，我提出离婚，孩子8个月该归谁。都需要什么手续？男方不同意。"
"2609113527","http://www.lawtime.cn/ask/question_10218129.html","离婚,债务","离婚后债务问题你好我想请问一下我跟我前夫离婚了，男方欠女方家里人的钱男方离婚的时候让女方偿还请问我还可以在跟他打官司吗？"
"2609113527","http://www.lawtime.cn/ask/question_10219278.html","离婚协议书,领结婚证","先生孩子后领结婚证的离婚协议书怎么写先生孩子后领结婚证的离婚协议书怎么写"
"2296725873","http://www.lawtime.cn/ask/question_10165823.html","转账支票背书,银行","如果转账支票背书印鉴是假的银行是否有责任验证？如果转账支票背书印鉴是假的银行是否有责任验证？"
"2121123192","http://www.lawtime.cn/ask/question_10219278.html","离婚协议书,领结婚证","先生孩子后领结婚证的离婚协议书怎么写先生孩子后领结婚证的离婚协议书怎么写"
"2207096334","http://www.lawtime.cn/ask/question_10277684.html","离婚","离婚，，，，，，我们结婚快三个月了可是她不肯尽妻子的责任离婚能不能拿回损失"
"2207096334","http://www.lawtime.cn/ask/question_10277684.html","离婚","离婚，，，，，，我们结婚快三个月了可是她不肯尽妻子的责任离婚能不能拿回损失"
"1268620558","http://www.lawtime.cn/ask/question_10277525.html","首付,贷款","买车已经交完首付而且贷款审批也已经下来但是还未放款能否提到车？买车已经交完首付而且贷款审批也已经下来但是还未放款能否提到车？"
"1268620558","http://www.lawtime.cn/ask/question_10277649.html","首付,贷款","买车交完首付而且贷款审批也已经下来但是还未放款能否提到车？买车交完首付而且贷款审批也已经下来但是还未放款能否提到车？"
"1271225968","http://www.lawtime.cn/ask/question_10207891.html","上户口","第一胎是男孩上户口必须上环吗？第一胎是男孩上户口必须上环吗？"
"1271225968","http://www.lawtime.cn/ask/question_10207768.html","临时工,主管","你好，我在甲厂打了6天临时工，到了第七日厂里没事做，主管说，先回家等有事做才短信通知，后来等了3天还没发短信，我就找乙厂做，再后来找甲厂拿工资，找了几次，他还没给我，我该怎么做才能拿到工资你好，我在甲厂打了6天临时工，到了第七日厂里没事做，主管说，先回家等有事做才短信通知，后来等了3天还没发短信，我就找乙厂做，再后来找甲厂拿工资，找了几次，他还没给我，我该怎么做才能拿到工资"
"1271225968","http://www.lawtime.cn/ask/question_10207717.html","债务","债务常识咨询我亲戚生意失败，欠了银行的贷款，银行起诉他，如我同他转卖了一台小车，还属供车期间的，不能转户给我。请问：银行会不会就我这台车处理（拍卖或扣封等）？"
"1271225968","http://www.lawtime.cn/ask/question_10206763.html","身份证,社保","用他人的身份证买的社保能更改吗进厂用了别人的身份证买了4年社保。现在自己办好了身份证想要改过来能行吗"
"1271225968","http://www.lawtime.cn/ask/question_10206145.html","合同,辞退","进工厂签了三个月试用合同，工作不到一个月，工厂把我辞退，我应该得到多少个月的赔偿？进工厂签了三个月试用合同，工作不到一个月，工厂把我辞退，我应该得到多少个月的赔偿？"
"3387906672","http://www.lawtime.cn/ask/question_10211219.html","婚姻法","婚姻法制咨询女朋友准备跟我结婚，之前她曾跟一男子非法同居生子，与她婚后我们是否可以要他小孩子抚养"
"3938934384","http://www.lawtime.cn/ask/question_10210363.html","户口,手续","从河南把户口迁到湖南需要那些手续我从河南婚迁到湖南常德需要那些手续"
"3884817934","http://www.lawtime.cn/ask/question_10213525.html","诉讼,诉讼","想要使用另一诉讼的内容作为本次诉讼的条件，请问需要提交什么？想要使用上次诉讼结果（数次的判决书）作为本次诉讼的条件，请问需要提交些什么东西？"
"3383134683","http://www.lawtime.cn/ask/question_10212221.html","住房公积金,强制","住房公积金是否强制请问在广州，住房公积金公司是否一定要为员工购买。我以前已经开户。现在的公司没有为我购买。"
"3884817934","http://www.lawtime.cn/ask/question_10213525.html","诉讼,诉讼","想要使用另一诉讼的内容作为本次诉讼的条件，请问需要提交什么？想要使用上次诉讼结果（数次的判决书）作为本次诉讼的条件，请问需要提交些什么东西？"
"1575042362","http://www.lawtime.cn/ask/question_10261997.html","工资","2015春节哪三天算3倍工资2015春节哪三天算3倍工资"
"1959204468","http://www.lawtime.cn/ask/question_10225483.html","产权证","兄弟姐妹五家人住,产权证上只有一个人的名字,该怎么办?该怎么加上其他几个人的名兄弟姐妹五家人住,产权证上只有一个人的名字,该怎么办?该怎么加上其他几个人的名"
"1959204468","http://www.lawtime.cn/ask/question_10224979.html","婚前财产问题","婚前财产问题你好，请问一下如果婚前的房产，婚后申请加上另一方的名字之后，这房产是不是女方也有份的呢？"
"3244737834","http://www.lawtime.cn/ask/question_10074660.html","房产证,离婚","离婚后房产证上减名婚后购房，房产证上是两个人的名字，现在离婚，离婚时协议书上房子归我，也去了公证处公证，现在房子还未还完贷款，能到房管局办理房产证减名吗？"
"3812410744","http://www.lawtime.cn/ask/question_10232489.html","土地确权,土地","我们家土地原先被个人承包盖房，后来他破产，房子归村委会所有，每年会给一些土地的租用费，最近赶上土地确权，承包给个人的合同又快到期了，周围未盖房的土地都确权了，唯有我们的土地没确权，我想问一下我们家土地原先被个人承包盖房，后来他破产，房子归村委会所有，每年会给一些土地的租用费，最近赶上土地确权，承包给个人的合同又快到期了，周围未盖房的土地都确权了，唯有我们的土地没确权，我想问一下，如果没确权，以后土地会归村委会吗？确权后，土地就归自己的了吗？"
"3875285307","http://www.lawtime.cn/ask/question_10204894.html","员工,离职","我是广州某服装厂员工，1月1号离职出厂，老板说12月工资要1月底发，可是今天到月底了，老板又说2月2号发，请问我该怎么办？我是广州某服装厂员工，1月1号离职出厂，老板说12月工资要1月底发，可是今天到月底了，老板又说2月2号发，请问我该怎么办？"
"3875285307","http://www.lawtime.cn/ask/question_10204821.html","离婚财产分割","离婚财产分割结婚3年共同生活，没小孩。彩礼当时给了44000，其中10000左右用于去男方所在地的机票等花费，还有4000用于女方家请客花费等。现在感情不和双方都同意离婚，男方要求返还一半彩礼钱。求咨询，谢谢"
"3875285307","http://www.lawtime.cn/ask/question_10204756.html","婚姻,房屋","婚姻，房屋释产已离婚多年，当年已签放弃产权。现照顾患病前夫，有收取金钱。现在可否通过释产拿回一半房屋产权？"
"3875285307","http://www.lawtime.cn/ask/question_10204223.html","关于抚养费","关于抚养费的问题我想问一下通过法院判决过后对方依然不肯给付娃娃的抚养费，我可以向对方要求一次性付清孩子到18岁的抚养费吗？"
"3875285307","http://www.lawtime.cn/ask/question_10203986.html","通知","大陆的小姐去香港被抓后要关多久我有位亲戚被她朋友说去香港赚钱'可能叫去做小姐了'近期电话联系不上可能是被抓了'请问抓了会关多久'会通知她家人吗。"
"3875285307","http://www.lawtime.cn/ask/question_10203921.html","监狱,探监","你好，请问监狱探监员过年会放假吗？过年前10天左右可以探监吗？你好，请问监狱探监员过年会放假吗？过年前10天左右可以探监吗？"
"1210220046","http://www.lawtime.cn/ask/question_10076326.html","闯红灯","今晚零晨我在布吉西环路闯红灯了，请问要罚多少扣多少分今晚零晨我在布吉西环路闯红灯了，请问要罚多少扣多少分"
"4207369840","http://www.lawtime.cn/ask/question_10228405.html","离婚,拆迁","男方当时是上门现在离婚女方家的拆迁房男方可以分吗男方当时是上门现在离婚女方家的拆迁房男方可以分吗"
"4207369840","http://www.lawtime.cn/ask/question_10227985.html","判决书","如何取得他人的判决书现要起诉的债务人已因其他案件坐牢，法院要求提供判其坐牢的刑事判决书，如何取得呢？"
"3394278670","http://www.lawtime.cn/ask/question_10232232.html","户口","我的户口迁到弟弟家可行吗我的住房买了。买主要求户口迁出，我能签到我我弟家，行吗、"
"3394278670","http://www.lawtime.cn/ask/question_10232232.html","户口","我的户口迁到弟弟家可行吗我的住房买了。买主要求户口迁出，我能签到我我弟家，行吗、"
"4207369840","http://www.lawtime.cn/ask/question_10232227.html","领结婚证,所在地","怎样在非户口所在地领结婚证怎样在非户口所在地领结婚证，需要哪些手续"
"3394278670","http://www.lawtime.cn/ask/question_10232275.html","身份证,结婚证","有两张身份证，一张办了毕业证，一张办了结婚证律师，您好我有两张身份证，一张是四川阿坝州的，另一张是四川资阳的，用资阳的办的结婚证，用阿坝州的办了毕业证，现在我困惑的是，我找工作涉及到买社保，我不知道用哪张了，因为我面试得用毕业证啊，但毕业证上的号码是阿坝州的"
"3394278670","http://www.lawtime.cn/ask/question_10232275.html","身份证,结婚证","有两张身份证，一张办了毕业证，一张办了结婚证律师，您好我有两张身份证，一张是四川阿坝州的，另一张是四川资阳的，用资阳的办的结婚证，用阿坝州的办了毕业证，现在我困惑的是，我找工作涉及到买社保，我不知道用哪张了，因为我面试得用毕业证啊，但毕业证上的号码是阿坝州的"
"2207096334","http://www.lawtime.cn/ask/question_10277851.html","买养老保险,下岗工人","我是下岗工人，公司又给我买养老保险，我们还可以要的到失业险吗？我是下岗工人，公司又给我买养老保险，我们还可以要的到失业险吗？"
"2207096334","http://www.lawtime.cn/ask/question_10277851.html","买养老保险,下岗工人","我是下岗工人，公司又给我买养老保险，我们还可以要的到失业险吗？我是下岗工人，公司又给我买养老保险，我们还可以要的到失业险吗？"
"3581056270","http://www.lawtime.cn/ask/question_10229977.html","计划生育法","1994年的广东计划生育法你好，请问如果要居民转成农民，有两个孩子是农民户口的而且长大了，要不要罚款？"
